ID,SMILES,Name,HOMO,LUMO,Voc (V),Jsc (mA cm^2),FF,PCE(%),ref
735,O=C(N1CC(CC)CCCC)C(C2=C1C(S3)=CC=C3C#C/C(C(C=C/4)=NC4=C5\C#CC6=CC=C(N(C)C)C=C6)=C7C=C/C8=C(C#CC9=CC=C(N(C)C)C=C9)/C%10=N/C(C=C%10)=C(C#CC%11=CC=C(C%12=C%13C(C(N%12CC(CC)CCCC)=O)=C(C%14=CC=CS%14)N(CC(CC)CCCC)C%13=O)S%11)\C%15=CC=C5N%15[Mg]N\78)=C(C%16=CC=CS%16)N(CC(CC)CCCC)C2=O,2d,,,0.53,12.63,46,3.06,"Ogumi K, Nakagawa T, Okada H, Sakai R, Wang H, Matsuo Y. Substituent effects in magnesium tetraethynylporphyrin with two diketopyrrolopyrrole units for bulk heterojunction organic solar cells. Journal of Materials Chemistry A 5, 23067-23077 (2017)."
736,O=C(C1=C(C2=CC=C([H])S2)SC(C3=CC=C(C4=CC=C(C5=C6C(C(N5CC(CCCCCC)CCCCCCCC)=O)=C(C7=CC=C([H])S7)N(CC(CCCCCC)CCCCCCCC)C6=O)S4)S3)=C18)C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O,P266,,,0.72,18.11,70.4,9.18,"Zhang H, et al. Low band-gap conjugated polymer based on diketopyrrolopyrrole units and its application in organic photovoltaic cells. Journal of Materials Chemistry A 5, 10416-10423 (2017)."
737,CCCCC(CC)CC1=CC=C(S1)C2=C3C(SC(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C6=CC7=C(S6)C(C8=CC=C(CC(CC)CCCC)S8)=C9C(SC(C%10=C%11C(C(F)=C(C(OCC(CC)CCCC)=O)S%11)=C([H])S%10)=C9)=C7C%12=CC=C(CC(CC)CCCC)S%12)S4)=C3)=C(C%13=CC=C(CC(CC)CCCC)S%13)C%14=C2SC([H])=C%14,P1,,,0.83,13.17,60,6.72,"Zhong H, et al. A regioregular conjugated polymer for high performance thick-film organic solar cells without processing additive. Journal of Materials Chemistry A 5, 10517-10525 (2017)."
738,CCCCC(CC)CC1=CC=C(S1)C2=C3C(SC(C4=C5C(SC(C(OCC(CC)CCCC)=O)=C5F)=C(C6=CC7=C(S6)C(C8=CC=C(CC(CC)CCCC)S8)=C9C(SC(C%10=C%11C(C(F)=C(C(OCC(CC)CCCC)=O)S%11)=C([H])S%10)=C9)=C7C%12=CC=C(CC(CC)CCCC)S%12)S4)=C3)=C(C%13=CC=C(CC(CC)CCCC)S%13)C%14=C2SC([H])=C%14,P2,,,0.85,17,65,9.66,"Zhong H, et al. A regioregular conjugated polymer for high performance thick-film organic solar cells without processing additive. Journal of Materials Chemistry A 5, 10517-10525 (2017)."
739,[H]C1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(SC(C5=C6C(C(F)=C(C(OCC(CC)CCCC)=O)S6)=C([H])S5)=C4)=C2C7=CC=C(CC(CC)CCCC)S7,P3,,,0.82,16.06,66,9.03,"Zhong H, et al. A regioregular conjugated polymer for high performance thick-film organic solar cells without processing additive. Journal of Materials Chemistry A 5, 10517-10525 (2017)."
740,O=C1C2=C(C=CC=C2)C(/C1=C/C(S3)=CC4=C3C(CCCCCC)=C(S4)C(S5)=CC6=C5C(SC(C7=C(CCCCCC)C(SC(/C=C8C(C(C=CC=C9)=C9C\8=O)=O)=C%10)=C%10S7)=C%11)=C%11[Si]6(CCCCCCCC)CCCCCCCC)=O,DINTTDTS,,,0.79,8.98,39.5,2.79,"Chen X, et al. Dithienosilole-based small molecule donors for efficient all-small-molecule organic solar cells. Dyes and Pigments 158, 445-450 (2018)."
741,CC1(C)C(C=C2C([O-])=C(C3=C(O)C=C(N4CCC5=C4C=CC=C5)C=C3O)C2=O)=[N+](CCCC)C6=C1C7=C(C=C6)C=CC=C7,ASQ-5,,,0.81,11.03,48,4.29,"Chen Y, et al. Synthesis of 3H-Benzo[e]indoline and Its Application to Small-Molecule Organic Solar Cells. Chemistry 24, 8747-8750 (2018)."
742,CC1(C)C(C=C2C([O-])=C(C3=C(O)C=C(N4CCC5=C4C=CC6=C5C=CC=C6)C=C3O)C2=O)=[N+](CCCC)C7=C1C8=C(C=C7)C=CC=C8,USQ-BI,,,0.73,15.64,47,5.35,"Chen Y, et al. Synthesis of 3H-Benzo[e]indoline and Its Application to Small-Molecule Organic Solar Cells. Chemistry 24, 8747-8750 (2018)."
743,[H]C1=CC2=C(C(C3=CC=C(CC(CC)CCCC)[Se]3)=C(C=C(C4=C(CCCCCCCC)C5=C(C=C(C6=C(F)C(F)=C(C7=CC(SC([H])=C8CCCCCCCC)=C8S7)C(C(N9CC(CCCC)CCCCCC)=O)=C6C9=O)S5)S4)S%10)C%10=C2C%11=CC=C(CC(CC)CCCC)[Se]%11)S1,PBDT-TTffIDD,,,1.02,6.95,57.8,4.1,"Hwang H, Ko H, Park S, Suranagi SR, Sin DH, Cho K. Fluorine-functionalization of an isoindoline-1,3-dione-based conjugated polymer for organic solar cells. Organic Electronics 59, 247-252 (2018)."
744,[H]C1=CC2=C(C(C3=CC=C(CC(CC)CCCC)[Se]3)=C(C=C(C4=C(CCCCCCCC)C5=C(C=C(C6=CC=C(C7=CC(SC([H])=C8CCCCCCCC)=C8S7)C(C(N9CC(CCCC)CCCCCC)=O)=C6C9=O)S5)S4)S%10)C%10=C2C%11=CC=C(CC(CC)CCCC)[Se]%11)S1,PBDT-TTIDD,,,0.92,7.02,58.7,3.8,"Hwang H, Ko H, Park S, Suranagi SR, Sin DH, Cho K. Fluorine-functionalization of an isoindoline-1,3-dione-based conjugated polymer for organic solar cells. Organic Electronics 59, 247-252 (2018)."
745,[H]C1=CC(C(C2=CC(F)=C(SCC(CC)CCCC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)=C8)C8=C9C%10=CC(F)=C(SCC(CC)CCCC)S%10)=C9S1,PBDB-T-SF,,,0.851,22.35,74.3,14.1,"Kan B, et al. A chlorinated low-bandgap small-molecule acceptor for organic solar cells with 14.1% efficiency and low energy loss. Science China Chemistry 61, 1307-1313 (2018)."
746,[H]C(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CCCCCC)C=C3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC=C(CC(CCCC)CCCCCC)C=C%10,PBT1-C,,,0.94,17,78,12.5,"Liu T, et al. Optimized Fibril Network Morphology by Precise Side-Chain Engineering to Achieve High-Performance Bulk-Heterojunction Organic Solar Cells. Adv Mater 30, e1707353 (2018)."
747,[H]C(S1)=CC2=C1C(C3=CC=C(OCC(CCCC)CCCCCC)C=C3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC=C(OCC(CCCC)CCCCCC)C=C%10,PBT1-O,,,0.91,12.6,64,7.3,"Liu T, et al. Optimized Fibril Network Morphology by Precise Side-Chain Engineering to Achieve High-Performance Bulk-Heterojunction Organic Solar Cells. Adv Mater 30, e1707353 (2018)."
748,[H]C(S1)=CC2=C1C(C3=CC=C(SCC(CCCC)CCCCCC)C=C3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC=C(SCC(CCCC)CCCCCC)C=C%10,PBT1-S,,,0.94,15.2,66.7,9.5,"Liu T, et al. Optimized Fibril Network Morphology by Precise Side-Chain Engineering to Achieve High-Performance Bulk-Heterojunction Organic Solar Cells. Adv Mater 30, e1707353 (2018)."
749,[H]C1=CC=C(C2=CC=C(C(N(CCCCCCCCCCCCCCCCCC)C3=O)=C4C3=C(C5=CC=C([H])O5)N(CCCCCCCCCCCCCCCCCC)C4=O)O2)[Se]1,FDPPSe,,,0.64,16,60.4,6.16,"Oklem G, Song X, Toppare L, Baran D, Gunbas G. A new NIR absorbing DPP-based polymer for thick organic solar cells. Journal of Materials Chemistry C 6, 2957-2961 (2018)."
750,CCCCCCCCCCCCC(S1)=CC=C1C2=C3C(C=C(C4=C(CCCCCCCC)C=C(C5=CC=C(C6=CC(CCCCCCCC)=C([H])S6)C7=NSN=C75)S4)S3)=C(C8=CC=C(CCCCCCCCCCCC)S8)C9=C2C=C([H])S9,PT-BT,,,0.79,7.7,45,2.7,"Sun J, Jin F, Zhao H, Yuan J, Ma W. Enhanced Charge Transfer, Transport and Photovoltaic Efficiency in All-Polymer Organic Solar Cells by Polymer Backbone Fluorination. Chinese Journal of Chemistry 36, 280-286 (2018)."
751,CCCCCCCCCCCCC(S1)=CC=C1C2=C3C(C=C(C4=C(CCCCCCCC)C=C(C5=C(F)C(F)=C(C6=CC(CCCCCCCC)=C([H])S6)C7=NSN=C75)S4)S3)=C(C8=CC=C(CCCCCCCCCCCC)S8)C9=C2C=C([H])S9,PT-BT2F,,,0.79,8.6,50,3.4,"Sun J, Jin F, Zhao H, Yuan J, Ma W. Enhanced Charge Transfer, Transport and Photovoltaic Efficiency in All-Polymer Organic Solar Cells by Polymer Backbone Fluorination. Chinese Journal of Chemistry 36, 280-286 (2018)."
752,[H]C(S1)=CC2=C1C(C3=CC=C(C4=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S4)S3)=C(C=C(C5=C(CCCCCCCCCCCC)C=C(C6=C(Cl)C=C(C7=CC(CCCCCCCCCCCC)=C([H])S7)C8=NSN=C86)S5)S9)C9=C2C%10=CC=C(C%11=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S%11)S%10,PBBCl1-T2,,,0.87,8.44,49.49,3.64,"Yang Z, et al. The integrated adjustment of chlorine substitution and two-dimensional side chain of low band gap polymers in organic solar cells. Polymer Chemistry 9, 940-947 (2018)."
753,[H]C(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S5)S4)S3)=C(C=C(C6=C(CCCCCCCCCCCC)C=C(C7=C(Cl)C=C(C8=CC(CCCCCCCCCCCC)=C([H])S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC=C(C%13=CC=C(CC(CCCCCCC)CCCCCCCCCC)S%13)S%12)S%11,PBBCl1-T3,,,0.73,13.75,68.59,6.87,"Yang Z, et al. The integrated adjustment of chlorine substitution and two-dimensional side chain of low band gap polymers in organic solar cells. Polymer Chemistry 9, 940-947 (2018)."
754,[H]C(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S5)S4)S3)=C(C=C(C6=C(CCCCCCCCCCCC)C=C(C7=C(Cl)C(Cl)=C(C8=CC(CCCCCCCCCCCC)=C([H])S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC=C(C%13=CC=C(CC(CCCCCCC)CCCCCCCCCC)S%13)S%12)S%11,PBBCl2-T3,,,0.84,9.9,63.94,5.33,"Yang Z, et al. The integrated adjustment of chlorine substitution and two-dimensional side chain of low band gap polymers in organic solar cells. Polymer Chemistry 9, 940-947 (2018)."
755,[H]C(S1)=CC2=C1C(C3=CC=C(C4=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S4)S3)=C(C=C(C5=C(CCCCCCCCCCCC)C=C(C6=C(F)C=C(C7=CC(CCCCCCCCCCCC)=C([H])S7)C8=NSN=C86)S5)S9)C9=C2C%10=CC=C(C%11=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S%11)S%10,PBBF1-T2,,,0.81,9.48,45.37,3.49,"Yang Z, et al. The integrated adjustment of chlorine substitution and two-dimensional side chain of low band gap polymers in organic solar cells. Polymer Chemistry 9, 940-947 (2018)."
756,[H]C(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S5)S4)S3)=C(C=C(C6=C(CCCCCCCCCCCC)C=C(C7=C(F)C=C(C8=CC(CCCCCCCCCCCC)=C([H])S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC=C(C%13=CC=C(CC(CCCCCCC)CCCCCCCCCC)S%13)S%12)S%11,PBBF1-T3,,,0.73,12.74,66.94,6.21,"Yang Z, et al. The integrated adjustment of chlorine substitution and two-dimensional side chain of low band gap polymers in organic solar cells. Polymer Chemistry 9, 940-947 (2018)."
757,[H]C1=CC=C(/C(C(N2CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4=C\3C=CC(C5=CC(F)=C(C6=C(F)C=C([H])S6)S5)=C4)=O)C2=C1,PiI2fT,,,1.06,12.58,66,8.8,"Jung EH, Ahn H, Jo WH, Jo JW, Jung JW. Isoindigo-based conjugated polymer for high-performance organic solar cell with a high VOC of 1.06?V as processed from non-halogenated solvent. Dyes and Pigments 161, 113-118 (2019)."
758,[H]C1=CC=C(/C(C(N2CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4=C\3C=CC(C5=CC=C(C6=CC=C([H])S6)S5)=C4)=O)C2=C1,PiI2T,,,0.89,9.21,60,4.92,"Jung EH, Ahn H, Jo WH, Jo JW, Jung JW. Isoindigo-based conjugated polymer for high-performance organic solar cell with a high VOC of 1.06?V as processed from non-halogenated solvent. Dyes and Pigments 161, 113-118 (2019)."
759,[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3,PTQ10,,,0.94,15.99,67.96,10.42,"Li S, et al. Highly Efficient Fullerene-Free Organic Solar Cells Operate at Near Zero Highest Occupied Molecular Orbital Offsets. J Am Chem Soc 141, 3073-3082 (2019)."
760,FC1=C(C2=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C3=CC=C([H])S3)S2)C4=NSN=C4C(C5=CC(CCC(CCCCCCCC)CCCCCCCCC)=C(C6=CC=C([H])S6)S5)=C1F,PCE-10,,,0.77,16.15,47.8,6.29,"Zhou Y, et al. Poly(sodium 4-styrenseulfonate)-modified monolayer graphene for anode applications of organic photovoltaic cells. Applied Physics Letters 111, 113302 (2017)."
761,[H]C1=CC2=C(S1)C(C3=CC=C(SCC(CC)CCCC)S3)=C4C(SC(C5=CC(C(OCCCCCCCC)=O)=C(C6=CC=C(C7=C(C(OCCCCCCCC)=O)C=C([H])S7)S6)S5)=C4)=C2C8=CC=C(SCC(CC)CCCC)S8,PB3T,,,0.98,17.2,68,11.5,"Kang Q, Yang B, Xu Y, Xu B, Hou J. Printable MoOx Anode Interlayers for Organic Solar Cells. Adv Mater 30, e1801718 (2018)."
762,[H]C(S1)=CC=C1C2=C(OC(COCCOCCOCCO)COCCOCCOCCO)C=C(C3=CC=C(C4=C(F)C(F)=C([H])C5=NSN=C45)S3)C(OC(COCCOCCOCCO)COCCOCCOCCO)=C2,PPDT2FBT-A,,,0.76,5.08,53,2.05,"Lee C, et al. Efficient and Air-Stable Aqueous-Processed Organic Solar Cells and Transistors: Impact of Water Addition on Processability and Thin-Film Morphologies of Electroactive Materials. Advanced Energy Materials 8, 1802674 (2018)."
763,[H]C1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C6=CC=C([H])S6)S5)S4)S3)C7=NN(CCC)N=C72)S1,PT5T,,,0.813,1.39,32.7,0.37,"Liu J, et al. A Donor Polymer Based on a Difluorinated Pentathiophene Unit Enabling Enhanced Performance for Nonfullerene Organic Solar Cells. Small Methods 2, 1700415 (2018)."
764,[H]C1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([H])S6)S5)S4)S3)C7=NN(CCC)N=C72)S1,PT5T-2F,,,0.822,16.64,70.8,9.69,"Liu J, et al. A Donor Polymer Based on a Difluorinated Pentathiophene Unit Enabling Enhanced Performance for Nonfullerene Organic Solar Cells. Small Methods 2, 1700415 (2018)."
765,[H]C(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CCCCCCCC)C4=C(C=C(C5=NC(SC(C(S6)=CC7=C6C(CCCCCCCC)=C([H])S7)=N8)=C8S5)S4)S3)S9)C9=C2OCC(CCCCCC)CCCCCCCC,PBDT-ttTZ,,,0.79,10.15,64.8,5.21,"Park J, Park JB, Ha J-W, Park HJ, Kang I-N, Hwang D-H. Efficient organic photovoltaic cells based on thiazolothiazole and benzodithiophene copolymers with 羽-conjugated bridges. Journal of Polymer Science Part A: Polymer Chemistry 56, 1978-1988 (2018)."
766,[H]C(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CCCCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=NC(SC(C6=CC(CC(CC)CCCC)=C([H])S6)=N7)=C7S5)S4)S8)C8=C2C9=CC=C(CC(CCCC)CCCCCC)S9,PTZ1,,,0.96,17.5,68.8,11.6,"Su W, et al. Significant enhancement of the photovoltaic performance of organic small molecule acceptors via side-chain engineering. Journal of Materials Chemistry A 6, 7988-7996 (2018)."
767,CC(C=C1C)=CC(C)=[C@@]1/[C@](C2=CC=C(/C(C#CC3=C(CCCCCC)C(CCCCCC)=C(/C=C/C4=C(CCCCCC)C(CCCCCC)=C(/C=C5C(N(CC)/C(S/5)=C(C#N)\C#N)=O)S4)S3)=C6N=C7C=C\6)N2[Zn]N8/C(C=C/C8=C7\C9=C(C)C=C(C)C=C9C)=C%10/C#CC%11=C(CCCCCC)C(CCCCCC)=C(/C=C/C%12=C(CCCCCC)C(CCCCCC)=C(/C=C%13C(N(CC)/C(S/%13)=C(C#N)\C#N)=O)S%12)S%11)=C%14C=CC%10=N\%14,MV72,,,0.92,11.25,39,4.03,"Vartanian M, de la Cruz P, Biswas S, Sharma GD, Langa F. Panchromatic ternary organic solar cells with 9.44% efficiency incorporating porphyrin-based donors. Nanoscale 10, 12100-12108 (2018)."
768,FC1=C(C2=CC(CC(CCCCCC)CCCCCCCC)=C(C3=CC(CC(CCCCCC)CCCCCCC)=C([H])S3)S2)C4=NSN=C4C(C5=CC(CC(CCCCCC)CCCCCCCC)=C(C6=CC(CC(CCCCCC)CCCCCCC)=C(C7=CC=C(C8=C(F)C(F)=C(C9=CC=C([H])S9)C%10=NSN=C%108)S7)S6)S5)=C1F,P3TA,,,1.02,10.9,48.8,5.44,"Yang G, et al. Understanding the influence of carboxylate substitution on the property of high-performance donor polymers in non-fullerene organic solar cells. Materials Chemistry Frontiers 2, 1360-1365 (2018)."
769,FC1=C(C2=CC(CC(CCCCCCCC)CCCCCCCCCC)=C([H])S2)C3=NSN=C3C(C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C5=CC=C(C6=CC=C([H])S6)S5)S4)=C1F,P4TA,,,0.96,8.6,39.8,3.29,"Yang G, et al. Understanding the influence of carboxylate substitution on the property of high-performance donor polymers in non-fullerene organic solar cells. Materials Chemistry Frontiers 2, 1360-1365 (2018)."
770,FC1=C(C2=CC(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C([H])S2)C3=NSN=C3C(C4=CC(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C(C5=CC=C(C6=CC=C([H])S6)S5)S4)=C1F,P4TE,,,1.06,9.27,54.1,5.34,"Yang G, et al. Understanding the influence of carboxylate substitution on the property of high-performance donor polymers in non-fullerene organic solar cells. Materials Chemistry Frontiers 2, 1360-1365 (2018)."
771,O=C1N(CCCCCCCCCC)C2=C(SC([H])=C2)C3=C1C=C([H])S3,BFD,,,0.72,7.37,42,2.25,"Zhao Y, et al. Regulating the optoelectronic properties of small molecule donors with multiple alternative electron-donor and acceptor units for organic solar cells. Journal of Materials Chemistry A 6, 8101-8108 (2018)."
772,[H]C1=CC(C(C2=CC=C(CCCCCC)C=C2)(C3=CC=C(CCCCCC)C=C3)C4=C5C=C6C(C(SC([H])=C7)=C7C6(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C4)=C5S1,IDTFD,,,0.82,13.13,52,5.58,"Zhao Y, et al. Regulating the optoelectronic properties of small molecule donors with multiple alternative electron-donor and acceptor units for organic solar cells. Journal of Materials Chemistry A 6, 8101-8108 (2018)."
773,CCCCCCC(C=C1)=CC=C1C(C2=C3C=C4C(C(SC5=C6SC([H])=C5)=C6C4(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C2)(C9=CC=C(CCCCCC)C=C9)C%10=C3SC%11=C%10SC([H])=C%11,IDTTFD,,,0.86,14.08,58,7.06,"Zhao Y, et al. Regulating the optoelectronic properties of small molecule donors with multiple alternative electron-donor and acceptor units for organic solar cells. Journal of Materials Chemistry A 6, 8101-8108 (2018)."
774,[H]C1=CC=C([H])S1,TFD,,,0.76,10.96,46,3.81,"Zhao Y, et al. Regulating the optoelectronic properties of small molecule donors with multiple alternative electron-donor and acceptor units for organic solar cells. Journal of Materials Chemistry A 6, 8101-8108 (2018)."
775,[H]C(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=CC=C(C4=C(N=C(C5=CC(OCCCCCCCC)=CC=C5)C(C6=CC=CC(OCCCCCCCC)=C6)=N7)C7=C(C8=CC=C([H])S8)C(F)=C4F)S3)S9)C9=C2OCC(CC)CCCC,BDT-A-TQT,,,0.704,11.3,69,5.5,"Zimmermann D, et al. Synthesis of D-羽"
776,[H]C(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(N=C(C6=CC(OCCCCCCCC)=CC=C6)C(C7=CC=CC(OCCCCCCCC)=C7)=N8)C8=C(C9=CC=C([H])S9)C(F)=C5F)S4)S%10)C%10=C2C%11=CC=C(CC(CC)CCCC)S%11,BDT-B-TQT,,,0.784,12.9,70,7.1,"Zimmermann D, et al. Synthesis of D-羽"
777,[H]C1=C2C(C3=CC=C2)=C4C5=C6C3=CC=CC6=C(C7=CC=C(C8=C(C(N(CCCCCCCC)C9=O)=O)C9=C(C%10=CC=C([H])S%10)S8)S7)C=C5N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C4=C1,PP-TPD,,,0.78,8.71,46,3.12,"Jang W, et al. Interface engineering on phenanthrocarbazole/thienopyrroledione-based conjugated polymer for efficient organic photovoltaic devices with ideal nano-morphology and improved charge carrier dynamics. Dyes and Pigments 145, 29-36 (2017)."
778,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C(C2=C(C3=CC(CCCCCCCC)=C([H])S3)SC(C4=CC(CCCCCCCC)=C(C5=CC6=C(C(C7=CC=C(CC(CC)CCCC)S7)=C(C=C([H])S8)C8=C6C9=CC=C(CC(CCCC)CCC)S9)S5)S4)=C21)=O,PC8TPD,,,0.9,8.57,55.2,4.26,"Kim J, Lee W-H, Park JB, Hwang D-H, Kang I-N. Synthesis and characterization of the fluorinated thieno[3,4-c]pyrrole-4,6-dione-based donor-acceptor polymers for organic solar cells. Dyes and Pigments 160, 403-409 (2019)."
779,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C(C2=C(C3=CC(CCCCCCCC)=C([H])S3)SC(C4=C(F)C(CCCCCCCC)=C(C5=CC6=C(C(C7=CC=C(CC(CC)CCCC)S7)=C(C=C([H])S8)C8=C6C9=CC=C(CC(CCCC)CCC)S9)S5)S4)=C21)=O,PC8TPD-F,,,0.95,10.19,70.2,6.8,"Kim J, Lee W-H, Park JB, Hwang D-H, Kang I-N. Synthesis and characterization of the fluorinated thieno[3,4-c]pyrrole-4,6-dione-based donor-acceptor polymers for organic solar cells. Dyes and Pigments 160, 403-409 (2019)."
780,[H]C1=CC=C(C(N(CC(CC)CCCC)C2=O)=C3C2=C(C4=CC=C(C5=CC=C([H])S5)O4)N(CC(CC)CCCC)C3=O)O1,PDPP2FT,,,0.73,7.52,58,3.2,"Cowart JS, et al. Donor-fullerene dyads for energy cascade organic solar cells. Inorganica Chimica Acta 468, 192-202 (2017)."
781,[H]C1=CC(OC(CCCCCCCC)CCCCCCCC)=C2C(N(C(CCCCCCCC)CCCCCCCC)C3=C2C=CC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([H])S6)C7=NSN=C75)S4)=C3)=C1,P1,,,0.92,10.9,47,5,"Shibasaki K, Yasuda T, Yamamoto Y, Kijima M. Dual substitution at 4,9-positions of carbazole in donor-羽-acceptor copolymer enhances performance of bulk-heterojunction organic solar cells. Polymer 108, 305-312 (2017)."
782,[H]C1=CC(OCC(CCCCCCCC)CCCCCCCC)=C2C(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=C2C=CC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([H])S6)C7=NSN=C75)S4)=C3)=C1,P2,,,0.75,12.33,57,5.46,"Shibasaki K, Yasuda T, Yamamoto Y, Kijima M. Dual substitution at 4,9-positions of carbazole in donor-羽-acceptor copolymer enhances performance of bulk-heterojunction organic solar cells. Polymer 108, 305-312 (2017)."
783,[H]C1=CC(OCCCCCCCC)=C2C(N(C(CCCCCCCCCCCC)CCCCCCCCCCCC)C3=C2C=CC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([H])S6)C7=NSN=C75)S4)=C3)=C1,P3,,,0.55,7.16,55,2.26,"Shibasaki K, Yasuda T, Yamamoto Y, Kijima M. Dual substitution at 4,9-positions of carbazole in donor-羽-acceptor copolymer enhances performance of bulk-heterojunction organic solar cells. Polymer 108, 305-312 (2017)."
784,[H]C1=CC=C2C(N(C(CCCCCCCC)CCCCCCCC)C3=C2C=CC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C([H])S6)C7=NSN=C75)S4)=C3)=C1,PCDT2FBT,,,0.88,6.94,34,2.07,"Shibasaki K, Yasuda T, Yamamoto Y, Kijima M. Dual substitution at 4,9-positions of carbazole in donor-羽-acceptor copolymer enhances performance of bulk-heterojunction organic solar cells. Polymer 108, 305-312 (2017)."
785,[H]C1=CC2=C(S1)C(OCC(CC)CCCC)=C3C(SC(C4=CC=C(C5=CC(C(OCC(CC)CCCC)=C(SC(C6=C7C(C(N(CC(CC)CCCC)C7=O)=O)=C([H])C6)=C8)C8=C9OCC(CC)CCCC)=C9S5)C%10=NN(CC(CCCCCCCC)CCCCCCCCCC)N=C%104)=C3)=C2OCC(CC)CCCC,P1,,,0.84,4.75,64,2.55,"Azeri ?, et al. Efficient benzodithiophene and thienopyrroledione containing random polymers as components for organic solar cells. Polymer 133, 60-67 (2017)."
786,[H]C1=CC2=C(S1)C(OCC(CC)CCCC)=C3C(SC(C4=CC=C(C5=CC(C(OCC(CC)CCCC)=C(SC(C6=C7C(C(N(CC(CC)CCCC)C7=O)=O)=C([H])C6)=C8)C8=C9OCC(CC)CCCC)=C9S5)C%10=NSN=C%104)=C3)=C2OCC(CC)CCCC,P2,,,0.8,14.02,52,5.83,"Azeri ?, et al. Efficient benzodithiophene and thienopyrroledione containing random polymers as components for organic solar cells. Polymer 133, 60-67 (2017)."
